Sub	Trial	Color	Period	Session	Path
54	2	w	1	2	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_2\TUESDAY_6_12_12\TRIAL1_7AM\54_2.bdf
54	3	w	1	2	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_2\TUESDAY_6_12_12\TRIAL1_7AM\54_3.bdf
54	1	w	2	2	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_2\TUESDAY_6_12_12\TRIAL2_11AM\54_1.bdf
54	2	w	2	2	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_2\TUESDAY_6_12_12\TRIAL2_11AM\54_2.bdf
54	3	w	2	2	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_2\TUESDAY_6_12_12\TRIAL2_11AM\54_3.bdf
54	1	w	3	2	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_2\TUESDAY_6_12_12\TRIAL3_3PM\54_1.bdf
54	2	w	3	2	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_2\TUESDAY_6_12_12\TRIAL3_3PM\54_2.bdf
54	3	w	3	2	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_2\TUESDAY_6_12_12\TRIAL3_3PM\54_3.bdf
55	1	d	1	2	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_2\TUESDAY_6_12_12\TRIAL1_7AM\55_1.bdf
55	2	d	1	2	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_2\TUESDAY_6_12_12\TRIAL1_7AM\55_2.bdf
55	3	d	1	2	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_2\TUESDAY_6_12_12\TRIAL1_7AM\55_3.bdf
55	1	d	2	2	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_2\TUESDAY_6_12_12\TRIAL2_11AM\55_1.bdf
55	2	d	2	2	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_2\TUESDAY_6_12_12\TRIAL2_11AM\55_2.bdf
55	3	d	2	2	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_2\TUESDAY_6_12_12\TRIAL2_11AM\55_3.bdf
55	1	d	3	2	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_2\TUESDAY_6_12_12\TRIAL3_3PM\55_1.bdf
55	2	d	3	2	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_2\TUESDAY_6_12_12\TRIAL3_3PM\55_2.bdf
55	3	d	3	2	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_2\TUESDAY_6_12_12\TRIAL3_3PM\55_3.bdf
